year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,14,0,0.9053707,0.843075484,3.008197461,0
2017,1,14,0,1.4953707,0.874358548,2.616748474,0
2017,1,14,0,2.0953708,0.993850201,1.512637128,0
2017,1,14,0,2.5153708,0.956146939,1.450590467,0
2017,1,14,0,2.8753707,21.11151914,1.670099447,131.7552813
2017,1,14,0,2.695371,267.0090914,3.370096987,2020.52962
2017,1,14,34.710495,1.6853707,278.0791091,5.338540172,1704.897579
2017,1,14,101.7017,0.30537075,138.5073509,4.315465183,727.8015701
2017,1,14,144.23154,1.1646292,137.4639003,5.18063769,724.2628007
2017,1,14,169.37355,1.8846292,84.87527589,5.377545718,431.5485479
2017,1,14,173.46611,3.534629,41.74456715,4.505473344,197.371755
2017,1,14,149.34457,3.9346292,10.72631265,3.313866862,38.21470405
2017,1,14,102.325264,2.784629,0.964690243,2.466414534,0.005678882
2017,1,14,39.00283,2.1546292,1.012527453,2.083567479,0
2017,1,14,0.5561488,1.5846293,0.951419696,2.088985944,0
2017,1,14,0,0.6646293,0.975313915,1.858077668,0
2017,1,14,0,0.34462926,0.907969604,1.94908477,0
2017,1,14,0,1.4153707,0.956245891,2.078406041,0
2017,1,14,0,1.0153707,0.923869842,1.993539829,0
2017,1,14,0,0.004629249,0.867119312,1.788665702,0
2017,1,15,0,1.2053708,0.916704085,1.989291879,0
2017,1,15,0,1.6953707,0.99321815,2.208337493,0
2017,1,15,0,1.9353707,0.974440927,2.133413628,0
2017,1,15,0,1.7753707,0.903303723,2.155720449,0
2017,1,15,0,1.0353707,0.824815229,2.160709633,0
2017,1,15,0,0.46537074,0.609779889,2.169503148,0
2017,1,15,0,0.50537074,1,1.980058734,0
2017,1,15,0,0.9153707,0.877779726,1.793904348,0
2017,1,15,0,1.5553707,3.440783948,1.765923309,0.016190902
2017,1,15,0,2.0453708,24.60153038,2.419579424,42.35494701
2017,1,15,33.324528,0.92537075,348.6223756,5.018377339,787.4139996
